n,prime,chi5,S_n,is_tie,gap_to_next_tie
1,7,-1,-1,False,
2,13,-1,-2,False,
3,19,1,-1,False,
4,31,1,0,True,22
5,37,-1,-1,False,
6,43,-1,-2,False,
7,61,1,-1,False,
8,67,-1,-2,False,
9,73,-1,-3,False,
10,79,1,-2,False,
11,97,-1,-3,False,
12,103,-1,-4,False,
13,109,1,-3,False,
14,127,-1,-4,False,
15,139,1,-3,False,
16,151,1,-2,False,
17,157,-1,-3,False,
18,163,-1,-4,False,
19,181,1,-3,False,
20,193,-1,-4,False,
21,199,1,-3,False,
22,211,1,-2,False,
23,223,-1,-3,False,
24,229,1,-2,False,
25,241,1,-1,False,
26,271,1,0,True,
27,277,-1,-1,False,
28,283,-1,-2,False,
29,307,-1,-3,False,
30,313,-1,-4,False,
31,331,1,-3,False,
32,337,-1,-4,False,
33,349,1,-3,False,
34,367,-1,-4,False,
35,373,-1,-5,False,
36,379,1,-4,False,
37,397,-1,-5,False,
38,409,1,-4,False,
39,421,1,-3,False,
40,433,-1,-4,False,
41,439,1,-3,False,
42,457,-1,-4,False,
43,463,-1,-5,False,
44,487,-1,-6,False,
45,499,1,-5,False,
46,523,-1,-6,False,
47,541,1,-5,False,
48,547,-1,-6,False,
49,571,1,-5,False,
50,577,-1,-6,False,
51,601,1,-5,False,
52,607,-1,-6,False,
53,613,-1,-7,False,
54,619,1,-6,False,
55,631,1,-5,False,
56,643,-1,-6,False,
57,661,1,-5,False,
58,673,-1,-6,False,
59,691,1,-5,False,
60,709,1,-4,False,
61,727,-1,-5,False,
62,733,-1,-6,False,
63,739,1,-5,False,
64,751,1,-4,False,
65,757,-1,-5,False,
66,769,1,-4,False,
67,787,-1,-5,False,
68,811,1,-4,False,
69,823,-1,-5,False,
70,829,1,-4,False,
71,853,-1,-5,False,
72,859,1,-4,False,
73,877,-1,-5,False,
74,883,-1,-6,False,
75,907,-1,-7,False,
76,919,1,-6,False,
77,937,-1,-7,False,
78,967,-1,-8,False,
79,991,1,-7,False,
80,997,-1,-8,False,
81,1009,1,-7,False,
82,1021,1,-6,False,
83,1033,-1,-7,False,
84,1039,1,-6,False,
85,1051,1,-5,False,
86,1063,-1,-6,False,
87,1069,1,-5,False,
88,1087,-1,-6,False,
89,1093,-1,-7,False,
90,1117,-1,-8,False,
91,1123,-1,-9,False,
92,1129,1,-8,False,
93,1153,-1,-9,False,
94,1171,1,-8,False,
95,1201,1,-7,False,
96,1213,-1,-8,False,
97,1231,1,-7,False,
98,1237,-1,-8,False,
99,1249,1,-7,False,
100,1279,1,-6,False,
101,1291,1,-5,False,
102,1297,-1,-6,False,
103,1303,-1,-7,False,
104,1321,1,-6,False,
105,1327,-1,-7,False,
106,1381,1,-6,False,
107,1399,1,-5,False,
108,1423,-1,-6,False,
109,1429,1,-5,False,
110,1447,-1,-6,False,
111,1453,-1,-7,False,
112,1459,1,-6,False,
113,1471,1,-5,False,
114,1483,-1,-6,False,
115,1489,1,-5,False,
116,1531,1,-4,False,
117,1543,-1,-5,False,
118,1549,1,-4,False,
119,1567,-1,-5,False,
120,1579,1,-4,False,
121,1597,-1,-5,False,
122,1609,1,-4,False,
123,1621,1,-3,False,
124,1627,-1,-4,False,
125,1657,-1,-5,False,
126,1663,-1,-6,False,
127,1669,1,-5,False,
128,1693,-1,-6,False,
129,1699,1,-5,False,
130,1723,-1,-6,False,
131,1741,1,-5,False,
132,1747,-1,-6,False,
133,1753,-1,-7,False,
134,1759,1,-6,False,
135,1777,-1,-7,False,
136,1783,-1,-8,False,
137,1789,1,-7,False,
138,1801,1,-6,False,
