cluster_idx,d_min,d_max,span,nj_per_cluster
14,91,94,4,2
15,96,97,2,2
16,99,102,4,2
17,104,105,2,2
18,107,108,2,2
19,110,110,1,2
20,112,113,2,2
21,115,116,2,2
22,118,119,2,2
23,121,121,1,2
24,123,124,2,2
25,126,127,2,2
26,129,130,2,2
27,132,135,4,2
28,137,138,2,2
29,140,141,2,2
30,143,144,2,2
31,146,147,2,2
32,149,158,10,2
33,160,161,2,2
34,163,164,2,2
35,166,167,2,2
36,169,170,2,2
37,172,482,311,2
