definition,n_points,alpha,se_alpha,intercept,r2,df,t_alpha_vs_zero,p_alpha_vs_zero,t_alpha_vs_half,p_alpha_vs_half
A,6,0.196224,0.079501,0.097778,0.603645,4,2.468189,6.908091e-02,-3.821017,1.876193e-02
C,6,0.212499,0.077163,0.045686,0.654695,4,2.753899,5.116904e-02,-3.725897,2.036955e-02
