definition,k_bootstrap,mean,median,std,ci95_lo,ci95_hi,ci90_lo,ci90_hi,parametric_alpha,parametric_se
C,10000,0.216821,0.216470,0.113667,0.023680,0.476655,0.050333,0.415112,0.212499,0.077163
A,9999,0.201396,0.198535,0.118243,0.008508,0.474466,0.037048,0.424698,0.196224,0.079501
