definition,natural_max_z,natural_max_z_window,null_p01,null_p05,null_p50,null_p95,null_p99,empirical_p_max_z,n_trials_ge_natural,z_stouffer,p_stouffer
A,3.611881,90,-0.208800,0.155083,1.293792,2.585853,3.041776,0.001000,1,7.015943,1.142015e-12
C,3.327981,90,-0.332181,0.179465,1.310966,2.478145,3.043138,0.005000,5,6.718457,9.182926e-12
