bin_lo,bin_hi,bin_width,midpoint,n_skipped,skip_fraction,n_clusters_starting,mean_cluster_width
13200,13300,100,13250.0,100,1.0,0,nan
13300,13400,100,13350.0,100,1.0,0,nan
13400,13500,100,13450.0,100,1.0,0,nan
13500,13600,100,13550.0,100,1.0,0,nan
13600,13700,100,13650.0,100,1.0,0,nan
13700,13800,100,13750.0,100,1.0,0,nan
13800,13900,100,13850.0,100,1.0,0,nan
13900,14000,100,13950.0,100,1.0,0,nan
14000,14100,100,14050.0,100,1.0,0,nan
14100,14200,100,14150.0,100,1.0,0,nan
14200,14300,100,14250.0,100,1.0,0,nan
14300,14400,100,14350.0,100,1.0,0,nan
14400,14500,100,14450.0,100,1.0,0,nan
14500,14600,100,14550.0,100,1.0,0,nan
14600,14700,100,14650.0,100,1.0,0,nan
14700,14800,100,14750.0,100,1.0,0,nan
14800,14900,100,14850.0,100,1.0,0,nan
14900,15000,100,14950.0,100,1.0,0,nan
15000,15100,100,15050.0,99,0.99,1,62.0
15100,15200,100,15150.0,97,0.97,3,29.666666666666668
15200,15300,100,15250.0,94,0.94,6,16.0
15300,15400,100,15350.0,92,0.92,8,11.125
15400,15500,100,15450.0,91,0.91,9,10.333333333333334
15500,15600,100,15550.0,91,0.91,8,11.125
15600,15700,100,15650.0,89,0.89,12,7.5
15700,15800,100,15750.0,86,0.86,14,6.285714285714286
15800,15900,100,15850.0,85,0.85,15,5.8
15900,16000,100,15950.0,83,0.83,17,4.764705882352941
16000,16100,100,16050.0,84,0.84,16,5.0625
16100,16200,100,16150.0,80,0.8,20,4.1
16200,16300,100,16250.0,80,0.8,20,3.9
16300,16400,100,16350.0,81,0.81,19,4.368421052631579
16400,16500,100,16450.0,83,0.83,17,4.764705882352941
16500,16600,100,16550.0,83,0.83,17,5.882352941176471
16600,16700,100,16650.0,88,0.88,12,6.333333333333333
16700,16800,100,16750.0,86,0.86,14,6.0
16800,16900,100,16850.0,89,0.89,11,7.909090909090909
16900,17000,100,16950.0,89,0.89,11,10.545454545454545
17000,17100,100,17050.0,93,0.93,7,13.0
17100,17200,100,17150.0,94,0.94,6,15.333333333333334
17200,17300,100,17250.0,94,0.94,6,16.166666666666668
17300,17400,100,17350.0,97,0.97,3,33.333333333333336
17400,17500,100,17450.0,97,0.97,3,35.0
17500,17600,100,17550.0,99,0.99,1,152.0
