range,n,df,slope,intercept,se_slope,t_slope,p_two_tail,r2
full,11,9,0.161881,4.521259,0.240242,0.673826,0.517352,0.048026
N>=1k,9,7,-0.481101,7.544514,0.170109,-2.828193,0.025472,0.533292
