mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
73,5,39,36,23
107,100,26,2,25
39,72,38,89,48
57,12,39,15,29
20,49,17,1,52
49,218,51,3,9
33,20,30,18,55
27,45,8,2,58
96,138,52,24,13
35,85,10,51,69
32,40,13,14,8
122,36,95,19,37
73,23,89,7,44
111,43,0,101,8
46,9,2,94,20
33,88,5,31,31
124,15,34,20,14
47,39,48,44,1
22,51,87,132,32
94,105,104,12,4
8,30,1,24,18
61,27,39,40,120
46,7,16,8,7
32,52,31,16,9
98,99,11,24,85
108,104,9,42,22
31,41,69,55,9
13,87,42,19,128
39,69,11,39,0
40,44,44,42,71
52,42,22,59,26
20,10,40,39,9
0,36,77,15,15
35,47,17,6,77
41,35,56,31,13
41,8,30,41,44
35,46,0,145,7
143,9,31,90,22
20,61,0,3,23
84,70,7,3,14
8,17,38,25,1
51,84,13,31,1
68,21,71,1,3
63,72,91,39,75
39,116,46,51,8
29,3,37,19,45
34,18,42,87,12
105,14,130,15,36
14,116,52,7,2
97,44,2,28,14
52,37,92,75,12
55,15,26,59,8
6,6,0,12,25
100,16,2,2,36
7,37,41,55,69
9,52,8,24,2
149,52,69,125,11
21,17,26,60,14
75,37,52,31,60
61,22,46,28,30
120,47,20,0,19
18,6,31,32,11
11,14,36,14,146
6,72,23,76,19
114,14,4,18,34
54,8,26,14,3
26,123,53,63,81
132,16,35,37,10
13,68,57,5,21
23,2,29,40,21
12,11,16,39,82
12,18,109,12,87
4,30,20,40,42
60,28,119,11,19
45,10,18,35,15
11,36,55,14,7
103,81,16,17,21
42,0,11,35,0
79,49,71,26,28
21,129,44,36,0
128,85,10,30,113
101,142,8,34,24
61,59,86,14,19
63,114,21,3,2
0,100,96,11,11
16,44,24,45,9
55,61,20,60,24
21,29,30,141,16
6,34,66,39,45
50,7,35,28,39
29,18,48,1,40
42,19,60,53,6
10,94,117,13,157
11,23,53,97,23
58,70,1,42,52
112,1,9,14,2
21,89,101,70,12
79,18,28,42,51
45,27,50,92,88
78,0,28,7,58
29,12,147,60,20
83,79,32,3,38
75,17,1,66,15
1,55,10,49,10
59,84,35,20,13
64,93,45,44,2
41,78,63,13,24
5,96,6,5,30
81,4,142,41,5
85,24,60,56,2
39,59,22,32,13
51,7,124,90,55
0,8,38,17,62
23,15,78,3,4
63,15,7,29,2
50,62,27,11,2
53,52,102,87,20
34,17,4,7,43
50,5,3,13,1
213,22,0,10,160
113,5,10,0,8
65,17,39,0,31
47,43,30,101,31
37,46,43,5,0
3,70,62,98,19
47,80,48,61,5
47,4,46,20,57
20,41,6,32,53
17,74,12,21,116
106,14,54,4,7
18,58,22,42,4
34,2,3,15,45
57,66,105,14,26
6,2,96,50,3
134,1,37,84,91
99,55,66,22,130
66,16,33,34,86
111,64,33,42,31
13,100,96,121,0
30,19,48,38,109
123,91,0,14,14
12,50,41,28,36
42,132,42,38,38
20,126,21,23,38
19,43,55,33,22
54,18,20,38,46
32,18,24,35,36
161,24,47,90,11
99,29,101,46,29
52,23,48,8,37
7,1,32,6,61
182,31,25,36,90
48,55,175,5,17
128,3,65,11,82
27,169,37,23,13
56,18,9,3,13
142,31,41,136,92
26,113,4,11,31
134,48,21,10,25
98,2,77,6,14
22,29,16,62,43
13,44,103,85,2
4,35,74,4,13
19,172,10,61,3
21,43,6,43,19
49,32,83,20,17
27,13,27,38,17
44,72,10,25,19
126,7,25,97,7
15,24,23,3,23
36,10,69,99,38
0,155,35,2,13
35,38,94,78,2
19,136,31,2,36
57,37,15,37,29
92,9,6,9,26
73,38,72,10,35
66,41,24,18,56
37,97,75,14,70
114,8,86,33,118
86,58,20,32,3
55,50,50,56,58
153,28,5,81,2
38,12,23,21,23
79,54,101,15,0
100,52,1,3,8
27,73,8,30,66
22,69,39,1,181
46,48,25,55,18
50,43,5,35,32
128,25,19,1,7
71,69,6,75,8
8,3,57,85,75
73,17,56,1,47
93,18,28,68,27
26,36,34,15,69
78,26,36,6,19
14,49,56,1,122
44,4,20,121,46
53,48,16,54,46
96,18,56,28,20
0,43,103,5,13
35,1,8,35,62
54,87,95,10,52
53,115,47,4,90
47,62,36,2,8
102,13,113,0,24
16,14,10,44,25
85,46,20,76,21
177,71,69,85,22
103,46,59,8,1
0,37,80,24,44
71,32,27,52,33
28,24,92,33,81
74,24,11,29,33
5,23,55,46,31
67,81,54,8,9
76,45,28,76,47
113,21,84,8,28
17,49,45,30,11
29,5,44,27,134
58,80,4,13,98
7,144,121,27,9
44,34,19,57,12
29,98,98,0,66
0,17,76,2,15
47,22,17,54,4
79,25,77,34,69
79,39,31,5,21
51,33,50,38,26
29,55,56,31,8
11,27,18,47,10
3,6,43,13,23
1,8,31,5,14
8,38,8,37,10
5,37,35,54,48
56,4,36,36,98
125,15,170,121,15
2,2,54,39,56
106,118,75,10,13
31,14,2,50,20
18,34,31,8,31
10,37,2,53,36
60,45,49,30,11
83,28,135,71,95
103,95,17,10,23
29,93,9,48,17
3,9,27,16,35
17,32,52,5,22
1,13,29,2,89
6,25,86,29,50
113,30,113,10,65
116,23,20,12,6
29,119,27,33,14
15,6,41,5,54
8,108,55,12,85
11,0,22,87,57
21,26,26,9,6
51,10,85,2,39
60,108,95,98,2
101,23,11,109,59
70,63,16,15,62
144,117,28,102,6
3,33,0,17,10
157,193,31,100,2
35,1,3,24,15
103,12,9,11,8
21,102,18,3,24
37,55,57,29,48
112,43,49,25,13
94,58,13,1,33
0,24,52,12,20
109,65,24,61,36
121,24,24,17,43
28,35,2,25,26
134,10,60,14,45
93,10,29,71,37
47,47,97,11,5
2,5,33,5,6
26,96,23,15,125
100,23,1,13,36
34,73,74,133,41
67,23,12,41,70
14,79,55,3,40
58,40,47,26,37
122,13,115,47,42
26,46,10,59,8
8,90,4,0,28
37,51,70,40,41
30,145,65,5,15
91,21,67,188,23
102,62,1,3,64
96,43,84,7,44
31,58,36,9,14
2,86,140,4,30
71,4,3,4,74
108,86,3,26,91
57,37,63,60,112
24,55,91,15,60
20,68,12,120,42
2,90,47,6,23
7,10,2,72,19
42,29,98,25,7
40,52,53,12,18
35,106,21,25,39
32,19,45,18,31
34,6,10,111,7
70,70,87,46,31
56,8,77,40,32
88,9,78,8,1
39,24,90,7,32
28,0,5,18,35
41,22,48,20,55
57,70,5,23,11
51,53,17,31,4
13,49,18,71,23
107,51,1,22,24
29,44,102,3,91
28,98,24,13,2
37,99,39,94,24
59,151,203,23,14
16,21,103,47,1
47,75,79,22,65
36,89,114,27,40
5,1,8,28,3
18,13,79,92,13
84,93,99,10,5
14,125,48,33,26
6,10,56,11,18
83,4,43,12,2
79,6,5,2,32
111,2,14,17,11
87,6,54,45,42
212,7,67,40,21
71,46,54,29,22
92,32,6,14,111
11,197,47,13,46
88,87,10,5,96
0,31,72,1,7
1,73,61,51,105
48,91,14,52,31
0,3,4,3,29
52,14,23,94,42
36,82,4,19,17
114,7,143,102,26
4,10,2,5,30
55,73,26,4,19
28,28,38,4,11
52,58,11,5,2
58,46,2,25,39
54,28,43,4,20
48,18,23,66,25
82,2,22,23,43
39,42,8,64,64
47,2,16,28,44
23,38,8,85,16
35,28,1,77,11
18,83,60,2,146
4,108,56,72,5
87,153,47,7,26
38,125,67,42,0
96,11,0,27,14
45,48,15,23,50
14,14,68,15,26
34,26,125,33,25
43,210,65,9,15
36,24,105,36,25
8,15,6,18,3
37,22,5,31,28
3,4,77,20,119
27,6,74,14,7
42,30,3,8,39
37,48,76,16,31
64,78,11,20,31
87,24,21,46,28
53,5,150,90,58
108,146,85,7,86
44,46,31,95,42
57,0,37,91,16
101,8,3,18,48
8,7,0,2,3
164,106,45,4,20
74,104,21,10,24
33,71,105,34,96
34,128,24,21,69
61,88,34,15,23
75,31,55,25,7
101,32,4,16,41
14,5,11,0,8
39,55,0,59,104
64,104,0,79,0
80,71,24,59,88
20,90,66,61,0
5,21,12,19,15
5,77,27,95,35
61,126,102,49,49
46,39,44,5,50
93,51,26,21,22
75,33,19,9,13
43,23,89,3,7
79,41,30,0,53
22,86,43,72,7
116,17,67,74,18
2,147,3,15,38
61,1,18,71,22
46,9,25,130,41
15,110,83,9,1
89,36,13,12,8
0,20,1,82,48
97,116,19,35,21
75,44,89,17,5
7,26,48,16,100
3,77,22,30,0
2,18,21,51,15
89,6,38,4,5
35,78,9,44,49
5,21,30,8,15
68,25,68,29,21
42,41,4,9,49
25,33,82,37,44
4,72,1,8,35
51,76,78,3,65
1,47,26,122,13
78,25,20,71,7
58,43,94,16,29
65,23,18,4,27
136,36,47,8,11
47,42,19,11,29
62,54,6,40,3
76,34,42,45,9
12,68,53,21,10
14,13,22,57,4
61,66,96,6,26
44,29,28,118,1
8,76,21,12,39
66,27,72,24,4
10,11,30,57,47
98,60,11,21,10
118,38,108,11,20
69,45,10,55,63
73,1,22,67,6
2,102,48,9,88
103,47,0,16,81
86,56,40,46,57
53,56,0,49,14
114,21,106,15,131
33,52,2,31,1
44,87,24,11,32
59,25,0,54,5
28,31,116,54,19
75,22,46,168,14
34,79,122,58,217
25,92,5,57,20
49,55,46,19,6
2,60,63,17,2
56,2,12,51,12
32,24,64,37,48
12,11,17,3,6
94,23,0,63,37
85,39,12,9,27
37,18,183,44,0
11,62,38,13,8
71,96,22,6,19
71,92,48,5,24
113,2,15,1,11
55,14,13,77,8
50,33,11,6,53
8,88,174,40,15
18,52,121,83,20
112,47,16,24,3
68,33,15,39,3
15,105,95,47,5
16,55,8,40,30
40,6,4,15,56
112,63,57,10,18
84,44,51,15,50
40,20,10,135,170
30,28,18,11,39
11,29,51,147,46
48,41,15,16,9
36,2,9,5,2
37,131,1,9,3
18,14,49,2,4
46,25,13,15,31
3,83,8,4,9
34,9,36,131,14
75,72,43,10,35
58,37,52,11,42
63,58,22,5,8
10,11,66,25,28
111,94,52,92,24
57,46,2,44,0
24,3,22,39,13
22,22,21,14,31
55,97,46,69,19
54,77,20,31,11
5,118,42,11,51
29,31,39,27,23
14,76,9,28,51
6,10,18,29,111
8,41,105,54,15
87,7,70,18,107
42,109,0,2,14
12,14,80,54,69
31,51,18,14,28
44,2,202,12,28
48,51,18,5,12
24,84,11,80,1
26,1,8,83,34
24,34,55,96,5
140,15,4,87,103
0,86,12,46,26
47,21,14,32,22
49,7,26,73,6
18,49,73,24,3
16,15,34,138,62
32,14,21,120,2
38,76,29,2,47
10,11,3,25,7
13,37,10,36,15
89,54,75,28,40
36,19,36,24,1
130,40,29,17,73
117,102,12,81,1
74,142,87,14,19
2,25,12,25,52
24,0,7,2,19
13,76,102,3,53
9,1,74,22,31
62,21,89,22,67
66,29,92,100,85
48,50,24,50,5
110,57,94,116,19
88,33,18,18,22
10,23,38,13,8
28,16,11,13,4
147,34,23,8,8
33,5,0,2,6
30,80,56,19,6
1,6,51,29,46
113,6,14,32,0
9,61,47,0,89
64,55,89,43,61
23,29,125,1,4
34,15,32,54,14
88,16,31,15,4
30,90,158,42,47
93,13,102,56,0
18,30,42,10,22
76,5,154,99,16
60,58,15,21,1
138,12,63,8,38
79,69,20,4,22
15,5,100,32,8
47,10,20,8,47
52,20,58,139,30
20,18,6,123,5
40,10,68,10,69
82,59,23,45,62
4,58,11,158,8
72,96,7,10,32
78,9,20,29,56
100,18,18,53,2
83,82,74,112,2
21,34,4,26,10
0,8,21,16,12
36,134,1,0,46
20,5,11,42,7
80,30,159,41,51
26,148,154,8,4
50,93,23,19,1
39,2,8,71,37
1,64,47,57,13
26,13,107,57,10
74,3,48,70,19
22,59,29,69,45
86,80,68,37,29
44,93,14,70,5
3,67,77,32,13
71,40,14,22,6
6,68,70,55,0
34,37,44,51,39
44,0,40,44,36
19,115,82,11,130
12,0,38,46,14
40,10,5,24,1
131,0,62,60,4
93,27,69,126,133
25,92,9,18,82
89,13,69,46,9
63,119,98,3,13
126,14,39,84,7
91,44,56,10,23
10,53,16,66,54
128,4,92,128,4
228,1,18,20,108
161,33,53,5,35
12,88,61,63,33
100,68,51,5,22
23,27,17,66,10
63,68,0,23,29
72,89,27,63,17
34,49,25,4,12
72,110,20,40,35
55,0,49,83,14
48,45,19,32,22
45,66,16,7,6
90,65,11,47,24
6,6,15,22,97
4,29,27,61,17
31,81,44,9,21
60,83,62,12,115
65,52,62,5,59
52,43,6,38,1
49,69,60,59,45
99,75,2,43,29
5,83,22,14,45
39,64,49,10,44
25,32,60,133,8
3,11,7,79,22
28,37,21,30,27
32,62,23,34,95
136,89,121,55,15
52,4,81,2,3
57,72,41,71,49
69,32,34,60,20
64,51,29,12,13
8,25,60,6,21
10,32,17,63,90
39,29,9,5,5
26,110,11,81,3
49,12,11,17,40
51,52,27,6,91
42,65,37,83,3
4,67,4,112,72
6,65,11,26,14
40,14,4,110,73
107,8,29,154,54
151,85,3,1,60
40,18,20,32,13
24,72,25,30,38
89,36,64,22,66
9,1,101,13,128
84,53,53,104,45
106,48,76,4,71
1,57,40,28,7
34,31,61,6,69
63,66,19,17,35
13,141,32,109,27
20,52,10,0,35
3,26,67,104,5
17,131,15,4,72
156,45,104,93,141
100,59,0,6,18
18,35,52,11,18
12,37,73,145,1
99,81,5,6,26
86,56,18,30,55
16,14,19,22,88
46,120,34,52,66
3,15,9,22,2
4,106,63,3,2
12,16,61,74,9
68,90,26,54,8
39,80,10,104,5
116,54,14,27,3
86,29,1,137,6
22,39,25,22,52
83,110,17,34,36
27,40,4,0,21
54,54,71,1,27
4,2,81,45,15
66,128,51,55,47
34,152,99,22,54
64,56,16,72,22
1,45,4,55,7
30,95,24,70,65
103,103,26,37,35
9,124,14,88,21
35,5,3,99,52
65,7,9,101,32
56,31,5,86,0
2,145,10,28,21
32,44,100,25,1
66,24,5,140,7
62,121,0,69,14
20,33,70,26,13
166,44,49,12,13
68,9,5,8,32
86,6,33,0,54
46,72,161,20,26
84,7,50,24,4
18,87,46,27,27
25,60,12,47,15
87,39,14,23,45
62,7,58,30,1
84,97,11,18,8
34,32,51,35,4
82,41,77,126,14
44,98,132,35,10
86,55,72,12,9
25,58,3,92,3
86,66,25,9,44
35,11,22,0,31
75,42,117,17,2
84,0,59,59,12
1,31,3,29,29
2,45,1,60,13
24,39,11,41,59
85,1,35,29,30
43,47,15,15,75
59,20,128,41,17
162,59,66,2,0
128,73,54,2,21
98,65,90,30,41
63,97,12,5,27
62,4,32,15,102
29,52,5,53,30
33,64,52,4,47
107,68,83,23,46
148,21,6,46,16
9,11,7,22,58
46,34,137,0,30
11,60,12,29,7
25,33,60,4,14
38,33,5,25,71
94,0,43,49,45
13,34,41,18,9
50,36,45,56,72
99,100,2,10,39
91,23,9,8,11
19,55,69,29,10
4,50,60,116,13
82,57,36,6,53
26,16,27,30,32
70,21,42,33,2
22,17,57,7,3
63,20,16,8,45
35,52,22,3,47
58,43,68,34,1
140,105,187,25,18
72,9,35,18,1
6,31,4,32,24
21,45,22,0,19
32,14,45,150,22
42,79,0,7,34
23,65,90,0,21
43,4,7,57,3
112,11,32,33,55
161,21,106,80,24
54,63,55,28,6
43,3,3,5,49
28,135,80,28,126
48,9,25,61,180
31,32,11,12,58
82,62,37,16,34
84,10,30,25,12
52,38,11,52,25
25,3,5,41,29
5,42,84,2,56
73,1,77,57,33
38,27,67,142,58
86,67,61,44,56
36,41,8,9,38
82,5,142,42,59
88,4,7,70,79
9,39,87,1,1
14,70,11,62,45
29,7,112,62,18
163,33,52,30,102
35,94,68,27,6
4,16,101,74,0
31,168,7,63,44
37,19,73,74,23
55,33,39,9,3
178,159,5,119,41
40,114,114,31,11
94,96,32,63,83
5,14,4,40,8
98,26,68,25,30
104,42,64,48,5
145,28,30,35,5
35,28,74,59,24
103,40,53,64,50
8,24,37,32,16
54,3,0,5,0
55,57,9,29,19
51,20,7,33,29
26,46,29,40,34
23,113,8,4,12
156,23,27,4,30
40,62,51,71,22
14,57,12,21,0
94,53,8,75,20
67,24,66,52,53
111,63,2,4,22
12,85,0,114,27
119,63,117,44,36
10,4,22,46,6
33,32,77,56,49
12,13,5,51,2
2,21,78,0,3
53,20,69,11,43
44,84,8,49,18
9,80,73,48,10
12,35,5,9,27
88,11,2,20,5
10,38,0,26,27
40,0,13,58,10
45,34,14,108,24
196,47,32,6,51
4,100,16,54,6
86,22,121,64,1
98,26,30,18,44
114,206,59,65,40
38,7,19,9,114
70,19,0,15,22
8,138,84,3,50
2,24,28,31,125
49,24,32,28,33
8,78,13,78,19
37,78,20,6,46
20,3,18,14,37
112,18,1,15,29
15,93,35,56,21
77,58,15,28,57
93,68,2,64,21
28,89,27,16,0
72,8,50,1,84
80,25,17,12,5
34,92,92,101,55
33,13,19,18,30
18,17,114,33,20
103,11,78,33,42
5,33,68,29,3
6,23,29,103,9
10,3,54,14,109
95,51,10,70,26
51,45,88,12,11
72,22,12,97,26
114,74,48,64,26
4,106,11,42,34
129,0,58,40,4
61,41,38,54,8
99,87,3,49,62
163,113,51,66,14
45,13,75,9,84
25,39,4,25,2
10,58,72,89,63
21,118,101,10,26
120,11,10,79,34
53,103,10,24,27
92,80,26,30,5
44,42,33,43,16
49,21,21,23,1
11,10,68,21,35
108,51,13,12,17
0,4,57,15,9
8,42,5,15,13
8,21,80,75,3
98,139,170,39,11
13,81,30,15,14
7,14,11,3,68
73,114,85,45,154
28,25,87,52,9
60,10,15,17,19
12,125,48,18,10
57,32,12,23,28
1,57,13,4,0
158,60,204,52,2
20,164,98,8,40
80,89,25,1,6
83,3,37,4,32
167,85,42,22,7
50,57,21,99,22
67,49,1,53,86
49,2,26,1,62
106,19,11,2,22
53,47,2,3,21
32,50,50,56,12
35,13,125,8,18
111,23,31,32,3
121,54,74,22,116
4,23,11,143,36
16,14,3,19,54
63,17,26,19,21
100,54,60,9,23
84,73,97,6,22
13,24,0,21,11
2,21,8,17,4
48,56,30,1,12
17,9,23,46,55
118,86,46,44,13
61,17,15,51,24
35,40,19,9,22
50,2,23,117,2
25,35,11,54,5
18,11,2,24,14
50,87,89,25,13
25,5,53,14,6
32,85,34,109,25
8,4,4,6,36
64,0,9,5,36
81,0,107,11,9
51,17,10,25,16
60,89,73,42,70
56,72,84,4,19
4,38,74,18,69
33,52,10,32,9
18,8,151,91,22
19,8,0,85,94
58,50,125,42,12
26,48,64,1,11
106,142,12,40,22
80,59,18,33,11
35,15,33,39,48
51,65,121,13,8
24,88,13,27,9
12,58,32,35,1
14,36,38,8,13
114,40,133,29,3
17,30,45,38,7
56,56,42,24,51
164,63,5,11,22
3,25,40,6,16
8,105,69,50,11
55,27,212,63,6
175,96,31,21,35
85,18,16,89,3
66,22,18,7,25
10,16,85,49,16
54,42,74,9,12
40,7,145,62,58
45,113,7,17,8
38,27,85,2,51
27,127,7,27,31
37,64,45,51,0
78,70,16,60,25
30,86,44,20,2
57,41,44,4,22
15,71,147,3,20
164,38,45,3,35
44,59,54,20,23
9,0,110,88,93
118,11,157,48,3
80,166,108,18,5
31,12,0,27,5
30,23,27,1,47
34,23,117,37,51
81,74,75,28,3
24,50,11,17,44
54,2,33,3,5
20,76,17,54,15
130,34,27,5,21
24,60,33,37,20
25,10,48,3,3
4,61,15,65,84
3,108,9,40,6
167,125,25,71,31
9,45,10,68,29
128,4,29,9,2
25,81,44,55,85
45,113,70,3,67
46,27,11,40,4
45,56,0,56,3
7,34,1,7,7
33,97,94,98,99
31,32,11,19,7
101,15,28,121,37
14,40,7,29,70
116,115,35,142,119
23,35,66,124,12
107,77,0,1,7
40,0,106,80,10
7,11,39,3,103
29,80,37,7,41
1,54,6,21,52
13,17,1,10,37
37,65,5,17,5
49,42,83,13,27
84,11,45,67,3
3,18,67,9,97
105,89,22,41,29
108,73,67,41,0
55,5,58,26,27
6,16,69,8,47
87,66,54,6,53
39,30,67,61,54
87,150,24,10,8
34,79,35,27,75
18,6,28,18,30
36,34,29,6,8
58,1,3,7,49
40,32,188,9,22
11,17,11,29,18
97,105,36,19,42
90,15,51,42,33
47,17,10,0,36
85,36,67,3,0
31,11,67,112,51
8,83,8,13,80
56,46,1,36,6
75,132,69,52,0
34,101,12,0,15
54,15,121,27,16
56,12,63,59,53
20,39,132,22,96
47,35,46,11,5
2,80,20,9,25
89,21,53,101,32
35,52,9,11,29
109,125,58,44,1
87,51,52,17,20
3,5,21,60,145
75,104,36,43,24
83,11,7,3,11
95,159,18,35,14
121,20,70,70,25
77,49,7,27,25
49,72,58,9,38
98,31,94,10,80
15,49,3,36,10
70,47,59,32,58
37,60,0,22,18
38,12,4,51,14
115,67,17,82,38
179,64,19,17,1
42,81,39,21,21
58,63,96,8,3
3,23,11,92,20
57,31,27,30,13
89,82,50,2,2
42,10,22,20,24
88,7,0,16,28
8,5,44,53,31
3,130,16,1,33
14,58,4,94,110
50,72,113,41,97
21,12,6,38,8
44,4,172,4,44
59,3,10,27,20
7,65,19,28,9
123,11,3,79,87
7,18,10,10,79
237,94,3,26,9
52,22,111,6,6
35,0,13,87,66
12,12,12,41,65
16,18,8,17,77
7,12,57,68,64
27,10,113,121,30
6,46,70,38,11
8,29,51,2,61
11,17,31,62,2
7,5,0,11,19
67,32,59,40,25
58,7,3,57,8
2,24,4,10,21
7,154,22,59,88
43,1,22,21,42
60,111,78,9,5
48,7,62,8,4
80,64,10,56,13
132,12,9,32,12
2,186,11,7,2
0,39,54,9,59
15,89,2,32,15
57,54,56,75,17
44,113,148,81,2
4,99,19,50,17
61,120,48,16,7
186,64,6,30,8
54,49,36,34,22
37,43,2,17,19
20,39,35,9,25
0,183,1,111,5
21,159,157,16,3
12,67,21,30,2
20,76,27,48,57
9,32,23,74,11
56,64,6,93,30
36,1,25,8,4
32,113,21,58,0
199,5,75,34,12
31,89,36,23,0
34,58,49,124,1
84,17,2,82,6
44,16,70,97,102
15,61,77,59,26
43,61,30,3,17
47,59,10,47,74
11,44,50,33,8
32,56,84,21,14
164,38,17,10,1
75,153,48,0,3
11,18,41,3,78
46,25,19,3,15
81,16,10,11,4
8,2,51,36,19
20,6,75,90,9
14,11,6,16,19
71,35,24,55,94
51,64,3,68,67
92,50,17,0,10
69,52,69,3,2
16,87,46,108,17
57,20,32,34,24
114,73,43,18,7
73,88,61,21,2
23,131,11,54,25
60,40,24,24,12
33,24,54,4,45
18,15,95,30,35
13,104,21,9,9
9,12,27,77,1
36,1,15,13,28
76,63,16,76,15
53,37,17,6,42
69,53,17,47,81
18,36,8,31,39
13,60,24,47,40
9,47,37,48,6
24,117,2,105,14
66,16,79,8,5
185,23,17,131,25
54,4,33,26,24
30,65,72,30,8
94,16,67,47,29
102,42,18,7,5
24,85,26,18,14
63,89,6,84,42
131,15,15,33,7
43,46,8,72,20
34,65,20,22,33
31,24,21,26,1
81,20,42,68,10
51,65,8,21,16
18,20,6,12,5
39,24,3,13,33
11,167,58,7,100
53,23,9,78,20
81,1,28,32,8
76,23,188,29,38
198,65,8,43,2
78,94,89,3,3
8,112,41,25,19
40,19,162,89,3
49,79,17,92,55
7,82,44,96,41
9,69,120,12,7
31,8,59,12,4
78,119,13,47,49
18,14,99,56,28
48,51,35,21,37
3,1,33,47,151
129,27,18,50,15
47,5,1,10,23
41,8,11,27,8
24,49,13,30,17
54,62,72,17,16
17,23,128,34,23
9,20,25,33,2
48,75,17,62,43
39,79,6,13,130
11,38,2,58,21
21,44,68,11,6
52,93,9,87,13
85,7,46,43,2
14,27,26,4,90
114,74,35,103,39
38,93,76,4,102
21,23,90,16,25
6,89,29,46,39
86,16,74,7,8
44,21,135,32,0
101,45,52,14,28
147,52,54,5,31
45,88,9,56,10
91,80,13,59,64
80,22,7,15,50
95,44,152,26,45
1,52,47,6,43
40,99,12,5,37
17,53,11,10,11
34,13,115,0,24
30,24,12,26,18
39,60,44,12,31
55,93,0,22,10
76,6,22,5,54
2,4,9,11,13
7,17,11,37,124
20,30,27,57,31
19,47,0,65,54
1,54,40,43,4
25,110,102,42,32
126,40,42,24,3
172,51,63,73,17
18,53,3,16,67
9,27,18,41,14
52,40,117,10,69
68,0,55,37,15
62,42,34,6,49
52,69,37,202,46
9,24,60,10,19
27,28,169,30,26
42,54,22,43,5
74,17,102,57,16
95,32,51,69,28
40,85,104,66,162
88,60,52,85,86
14,48,59,13,10
83,33,7,27,1
133,33,50,83,76
135,12,95,14,9
57,62,62,14,33
66,16,25,23,23
54,115,25,30,0
21,48,102,2,33
21,67,65,18,22
31,111,47,21,17
12,57,92,24,1
14,3,130,10,14
20,39,30,33,30
19,63,18,90,0
60,127,45,55,83
48,35,28,1,25
53,43,137,70,36
41,19,50,25,12
25,3,49,44,46
30,40,84,13,71
24,55,53,9,0
45,6,17,25,12
94,10,75,92,122
7,63,65,76,14
39,40,13,66,59
39,72,100,45,58
30,46,29,32,4
4,65,86,34,17
9,76,46,1,26
26,10,3,9,13
1,37,50,19,3
8,51,84,14,18
62,56,55,62,32
54,11,83,16,15
38,21,8,57,86
108,2,32,50,58
18,89,8,3,3
3,57,76,12,5
8,94,87,113,60
78,139,1,36,70
7,8,4,15,2
66,96,94,9,9
175,35,33,28,24
53,26,144,1,26
69,117,1,65,49
1,33,11,84,45
103,67,40,19,2
1,207,1,47,6
29,34,3,13,75
97,48,15,40,46
8,0,28,28,20
19,1,49,129,48
89,14,41,60,10
68,54,50,69,39
36,31,79,27,4
20,60,28,11,119
54,15,27,49,76
56,65,0,48,80
17,13,0,10,10
24,47,11,36,45
29,133,5,19,39
108,29,4,116,1
35,6,94,7,11
25,1,40,19,50
80,24,19,62,58
62,46,41,64,8
12,30,16,11,8
3,7,50,27,16
20,33,169,81,27
86,16,3,4,81
6,5,9,4,12
52,64,58,38,0
119,72,15,25,101
37,75,2,67,37
56,29,50,92,0
104,180,16,96,46
4,70,65,8,4
38,24,36,21,53
35,40,23,89,32
13,41,125,60,17
60,15,47,23,4
42,22,70,16,72
93,27,42,34,28
101,66,10,18,39
73,0,9,54,25
35,55,12,22,15
58,98,40,63,37
72,27,80,72,15
57,45,102,42,17
24,15,12,1,57
10,7,39,21,8
32,5,55,44,17
13,151,43,64,24
88,12,4,23,24
71,19,16,9,23
22,8,0,9,42
29,50,6,48,0
49,0,113,65,16
77,16,18,77,106
53,87,30,27,13
53,2,26,53,58
28,34,166,13,10
2,22,14,2,48
81,52,51,14,45
10,21,21,54,44
234,49,1,58,29
8,4,88,4,26
36,47,63,138,35
40,64,96,58,41
111,12,4,0,43
35,59,73,28,70
148,9,54,1,53
107,29,93,22,3
54,77,1,12,24
80,93,52,3,51
2,40,18,0,17
10,27,25,3,53
53,15,8,5,3
17,79,57,40,13
149,36,5,21,52
127,42,19,68,52
35,50,13,17,24
91,43,10,18,1
16,48,47,22,27
137,79,16,59,20
104,37,61,3,5
110,38,19,8,3
37,98,65,14,43
48,30,8,39,29
112,74,61,63,8
234,101,121,15,19
117,16,50,48,3
30,8,1,113,48
18,98,48,71,15
17,73,13,21,30
47,80,9,80,0
155,82,38,23,40
26,2,6,55,6
2,5,50,33,111
9,14,42,3,31
89,34,95,14,0
47,17,154,47,11
158,29,18,16,30
84,95,72,4,7
21,72,1,0,13
90,57,35,54,18
11,99,49,4,4
80,46,33,34,10
55,45,19,30,10
77,20,13,11,3
13,51,149,91,48
177,28,112,5,28
34,180,56,19,32
121,110,23,35,3
107,85,31,48,29
81,26,6,49,57
37,70,64,2,11
21,36,66,59,4
15,70,21,0,65
113,76,3,6,38
104,18,58,12,22
39,37,3,33,10
77,6,31,3,5
61,142,7,2,11
67,95,7,35,34
15,46,1,6,48
18,9,41,49,42
38,12,3,94,7
22,67,42,37,33
73,53,15,22,5
81,12,13,0,12
71,114,68,2,91
94,3,75,24,5
55,16,24,89,75
5,44,43,74,40
42,186,1,35,2
23,3,76,17,60
55,36,10,10,35
68,40,146,0,18
87,97,53,0,8
44,151,2,103,1
80,26,21,54,45
22,43,9,73,43
3,65,34,8,15
44,49,142,3,5
70,42,20,23,14
