mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
74,30,21,12,2
61,78,41,27,33
30,76,50,43,3
37,76,4,33,26
79,37,30,126,22
41,31,28,2,39
72,0,45,94,72
36,58,42,15,66
7,146,85,11,36
5,8,56,44,71
41,84,6,12,10
10,46,28,13,31
141,23,52,44,22
20,35,1,37,20
21,34,12,51,28
127,27,44,46,28
4,0,26,17,7
23,44,65,13,7
2,43,188,35,1
119,20,26,11,25
70,13,72,61,7
63,29,73,18,1
67,45,23,26,14
31,3,50,71,62
8,65,23,12,14
4,74,65,10,2
6,41,4,47,21
41,43,137,24,107
45,90,19,60,4
152,108,23,9,90
10,4,50,33,6
19,43,136,101,74
57,34,78,46,32
27,5,4,16,50
25,109,136,82,69
54,125,21,41,62
31,5,38,39,1
48,15,33,26,20
25,6,24,25,62
35,82,36,1,36
103,1,60,10,1
69,12,34,21,41
18,61,18,19,23
25,31,25,24,46
17,91,104,39,33
96,91,35,50,33
41,21,9,56,22
144,28,42,7,18
22,83,105,20,24
97,8,27,11,33
57,26,31,7,21
120,127,22,3,134
0,28,44,105,70
37,2,17,37,1
73,91,33,62,30
21,35,21,56,45
90,76,2,0,88
20,96,36,2,17
69,35,7,31,58
6,46,11,19,24
68,19,28,166,87
93,76,31,6,66
80,17,21,81,6
110,9,37,22,36
67,33,45,7,78
103,36,49,23,38
74,151,62,35,9
14,150,1,106,78
1,12,29,15,5
72,31,139,7,62
10,40,16,7,50
71,79,70,15,48
143,2,26,4,0
102,52,73,4,6
0,37,120,14,16
46,57,30,32,23
142,49,13,93,29
37,43,129,100,20
22,91,32,6,28
39,12,28,98,1
45,22,17,28,43
30,126,52,8,5
46,110,94,0,72
0,18,58,75,46
65,5,57,67,2
94,6,102,35,105
50,25,77,2,2
13,45,16,3,35
31,10,44,10,72
14,86,42,43,16
63,9,16,65,9
50,99,55,47,40
19,45,14,75,19
9,31,90,5,81
47,12,49,18,12
11,10,43,34,39
2,43,7,13,1
58,167,50,33,149
22,56,75,22,19
27,63,18,151,79
29,83,33,32,12
15,148,10,48,12
38,111,14,10,16
16,5,39,14,31
151,6,142,4,21
90,37,0,40,6
105,115,7,59,20
98,24,75,26,6
83,9,142,0,6
41,36,108,4,1
31,1,8,33,14
30,33,22,37,3
87,92,16,5,5
55,3,1,5,7
69,49,60,2,2
15,9,18,36,76
47,87,1,14,20
138,0,15,6,43
25,25,116,36,22
29,83,29,12,5
18,4,57,46,1
107,28,8,81,70
66,4,64,47,41
71,20,20,4,14
68,33,6,5,42
84,58,17,5,5
92,80,19,50,33
40,91,1,53,17
119,11,36,37,20
88,64,110,23,57
77,18,37,55,12
29,3,36,6,12
113,37,26,10,3
54,47,73,117,13
129,11,36,21,54
67,33,38,9,47
153,16,48,21,6
38,136,76,1,12
12,86,67,11,10
8,49,44,65,9
9,8,30,52,7
78,29,28,49,29
28,9,5,171,28
48,34,29,93,15
3,10,23,54,0
17,45,51,38,27
102,75,35,2,6
48,90,97,45,100
128,106,32,2,19
114,19,7,83,45
27,28,60,58,10
146,21,1,33,21
12,36,59,28,40
32,84,6,19,103
31,1,8,5,67
62,70,33,38,18
8,64,1,6,19
32,98,30,42,19
9,22,99,64,38
54,22,60,38,8
51,43,87,28,5
119,11,15,27,26
19,45,64,18,29
25,83,1,38,5
182,9,26,0,54
20,64,71,54,48
6,99,6,66,30
5,23,28,76,2
45,35,62,164,1
35,1,81,103,0
32,70,68,16,9
94,52,23,90,75
6,37,46,114,20
46,24,52,8,46
50,21,52,8,40
136,49,65,23,32
70,15,3,21,10
33,7,10,28,13
157,117,32,23,11
17,14,15,79,60
47,44,37,142,22
102,54,16,20,17
13,36,84,51,52
10,3,6,1,18
84,0,12,4,7
172,18,4,16,51
15,86,30,15,37
18,144,11,8,4
21,10,130,5,90
2,33,64,70,50
98,82,96,51,20
89,113,42,33,4
18,16,10,109,32
26,31,22,8,15
38,25,23,13,0
4,37,10,63,26
46,6,19,19,24
11,11,20,13,39
31,27,2,14,64
2,35,0,11,10
116,12,53,76,94
42,2,17,27,23
18,98,38,4,41
34,7,6,40,10
27,15,9,64,47
21,115,148,11,11
5,97,21,35,1
27,4,38,5,31
75,2,65,47,10
26,52,16,4,3
6,20,5,43,16
63,51,47,8,4
7,26,0,6,38
33,4,36,13,23
56,4,26,74,31
27,102,45,55,8
33,34,158,12,67
31,51,26,65,64
57,21,20,58,20
16,74,169,19,5
57,100,5,10,9
18,78,62,26,12
26,39,45,10,24
37,8,19,62,44
3,12,16,18,39
16,132,75,51,6
6,106,4,17,5
42,38,55,22,15
51,101,47,127,14
24,68,2,23,67
142,106,2,17,32
6,91,6,8,0
33,27,3,10,63
6,109,10,13,2
30,26,143,40,13
12,9,34,16,15
21,72,12,34,4
74,66,61,72,40
6,16,137,72,95
29,52,16,95,36
62,10,10,16,40
28,11,21,11,54
9,29,105,21,7
22,124,1,55,17
14,2,26,3,11
38,19,49,48,64
20,77,6,6,12
76,14,44,2,9
37,47,18,1,8
49,15,33,114,23
74,106,54,11,8
40,48,0,28,17
65,40,82,15,13
16,33,4,7,23
99,41,44,57,7
12,36,62,11,11
54,1,43,19,8
136,28,114,2,40
67,4,11,5,15
94,105,0,46,17
18,114,34,43,15
2,29,16,23,75
26,14,14,17,8
12,29,17,5,11
2,103,8,64,11
32,8,186,35,57
101,0,34,31,81
4,32,54,3,3
26,53,86,47,14
66,71,4,14,22
101,89,17,5,4
115,20,2,51,20
32,52,3,23,11
39,2,90,39,10
60,79,7,38,17
69,4,98,8,14
114,5,22,12,12
11,5,162,110,49
117,67,42,71,7
82,25,79,86,134
36,28,18,34,0
15,51,3,12,5
213,6,82,8,4
37,87,93,19,20
6,53,38,42,22
32,30,89,26,32
37,56,43,11,15
52,58,37,49,19
21,106,35,90,16
117,67,17,3,6
11,6,3,41,8
8,17,47,102,84
36,15,3,5,14
44,62,1,112,73
43,96,29,31,32
71,61,101,6,11
61,78,27,30,15
34,21,107,32,7
18,24,96,38,28
89,77,6,38,2
77,3,9,5,27
32,9,30,68,12
13,42,7,54,3
0,36,0,49,6
41,81,125,37,3
16,30,87,79,12
2,38,24,7,6
46,0,11,110,2
47,31,13,68,80
15,2,33,44,39
110,19,75,36,1
84,1,8,2,28
62,2,20,69,2
105,39,2,8,20
38,152,101,36,11
52,14,16,53,14
28,166,9,17,35
2,63,85,13,4
19,48,111,40,61
102,13,37,27,5
68,38,89,69,39
15,171,3,42,34
62,44,10,39,5
15,44,24,25,97
36,13,28,50,1
11,69,81,53,16
3,10,50,34,1
72,122,45,89,38
13,48,3,12,54
82,65,22,32,5
31,20,8,34,46
0,14,12,83,28
91,43,98,44,9
59,26,9,61,22
133,11,44,8,37
22,46,4,62,7
1,140,53,13,28
11,29,12,33,28
63,60,54,55,0
14,81,86,24,37
59,10,108,8,96
109,52,17,54,9
65,26,96,10,27
19,17,34,125,16
45,44,12,13,6
21,41,3,76,20
30,17,33,90,0
37,57,61,34,6
72,73,19,37,4
53,32,35,8,12
51,54,27,11,36
63,38,147,16,243
12,49,8,9,30
81,122,22,15,55
106,100,23,11,132
27,25,0,120,2
85,47,43,21,0
37,2,23,3,49
25,85,3,53,15
179,29,32,23,20
38,22,38,36,40
20,103,181,16,17
147,69,7,90,84
52,21,21,103,2
65,101,10,65,22
40,4,12,54,21
76,75,67,37,116
75,18,6,50,0
149,104,102,105,68
53,54,37,65,27
108,31,23,45,12
33,15,13,2,7
62,10,17,13,1
2,12,24,34,5
28,66,80,50,45
75,96,26,59,101
13,92,80,28,26
76,39,70,90,38
10,129,26,7,16
4,36,81,32,167
2,19,3,5,3
57,72,5,88,73
208,25,6,3,19
55,13,14,25,54
26,0,12,51,22
16,25,23,107,34
93,125,55,3,7
27,90,12,15,10
17,65,113,25,12
42,14,22,25,2
6,1,73,15,55
18,39,38,83,60
33,7,23,49,125
16,2,35,81,42
33,11,42,51,15
34,48,29,112,1
46,53,40,57,10
5,127,96,23,28
84,87,4,10,9
8,38,105,67,6
21,47,48,34,19
86,55,48,45,78
111,81,5,43,9
53,90,128,56,59
73,30,18,50,19
41,10,19,2,63
88,69,36,7,49
113,8,14,63,40
107,83,19,3,6
72,21,22,61,11
12,22,9,0,41
5,2,43,47,52
34,7,72,57,45
81,40,5,6,16
40,34,47,60,24
25,96,48,35,20
45,21,28,28,0
53,98,71,18,77
105,30,24,37,115
20,7,44,133,6
38,31,66,59,58
15,40,2,13,56
4,23,0,42,33
69,108,8,56,2
93,130,24,141,9
13,120,6,64,70
93,39,91,85,17
48,80,75,8,84
13,4,29,37,50
85,55,70,20,2
4,125,60,3,33
149,116,23,0,9
64,31,0,70,52
16,9,23,37,75
24,28,61,8,1
93,47,87,4,23
82,7,23,25,24
26,55,35,59,71
3,18,41,47,67
22,32,31,7,9
64,15,23,6,67
11,91,133,46,3
61,24,3,18,32
0,34,42,17,1
21,49,5,35,3
2,49,72,23,29
36,30,17,5,3
30,64,19,29,1
10,19,17,18,68
70,10,17,114,24
89,23,20,106,54
54,36,13,54,59
9,53,33,45,5
56,5,42,21,14
41,7,6,1,3
131,9,14,22,9
1,14,117,19,2
144,22,5,135,90
79,92,117,74,15
43,40,72,44,22
19,47,14,104,12
33,51,4,4,42
134,17,67,34,15
69,118,25,22,31
45,84,5,8,4
30,10,9,90,51
80,159,47,18,19
21,95,12,60,73
11,83,52,53,93
32,11,112,64,35
12,4,141,28,13
50,79,65,85,87
13,3,18,33,6
80,30,32,14,43
136,8,29,23,12
